Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Delhi,Najafgarh,Rice,Other,FAQ,3000,6000,4500,22-Oct-19
2,Delhi,Najafgarh,Rice,Other,FAQ,4800,4800,4800,01-Sep-19
3,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,25-Aug-19
4,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,22-Aug-19
5,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,26-Jul-19
6,Delhi,Najafgarh,Rice,Other,FAQ,2000,2600,2300,24-Jul-19
7,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21-Jul-19
8,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,28-Jun-19
9,Delhi,Najafgarh,Rice,Other,FAQ,2500,2500,2500,27-Jun-19
10,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,23-Jun-19
11,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,27-May-19
12,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25-May-19
13,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,21-May-19
14,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,17-May-19
15,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27-Apr-19
16,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26-Apr-19
17,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21-Apr-19
18,Delhi,Najafgarh,Rice,Parmal,FAQ,1980,1980,1980,29-Mar-19
19,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,25-Mar-19
20,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,23-Mar-19
21,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,28-Feb-19
22,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25-Feb-19
23,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,14-Feb-19
24,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12-Feb-19
25,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,11-Feb-19
26,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,10-Feb-19
27,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24-Jan-19
28,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,22-Jan-19
29,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,19-Jan-19
30,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,22-Dec-18
31,Delhi,Najafgarh,Rice,Parmal,FAQ,2500,2500,2500,01-Dec-18
32,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-Nov-18
33,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,26-Nov-18
34,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,21-Nov-18
35,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,10-Nov-18
36,Delhi,Najafgarh,Rice,Parmal,FAQ,3000,3000,3000,29-Oct-18
37,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27-Oct-18
38,Delhi,Najafgarh,Rice,Parmal,FAQ,3000,3000,3000,11-Oct-18
39,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,10-Sep-18
40,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,09-Sep-18
41,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,03-Sep-18
42,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,30-Aug-18
43,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,18-Aug-18
44,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,14-Aug-18
45,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,12-Aug-18
46,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,09-Aug-18
47,Delhi,Najafgarh,Rice,Parmal,FAQ,3000,3000,3000,07-Aug-18
48,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,02-Aug-18
49,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,30-Jul-18
50,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,3400,2750,28-Jul-18
51,Delhi,Najafgarh,Rice,Other,FAQ,2200,2200,2200,24-Jul-18
52,Delhi,Najafgarh,Rice,Other,FAQ,2400,2400,2400,23-Jul-18
53,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,17-Jul-18
54,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,09-Jul-18
55,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,22-Jun-18
56,Delhi,Najafgarh,Rice,Parmal,FAQ,1900,2100,1950,17-Jun-18
57,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,16-Jun-18
58,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,10-Jun-18
59,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,02-Jun-18
60,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,01-Jun-18
61,Delhi,Najafgarh,Rice,Parmal,FAQ,2400,2400,2400,31-May-18
62,Delhi,Najafgarh,Rice,Parmal,FAQ,4175,4252,4213,28-May-18
63,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26-May-18
64,Delhi,Najafgarh,Rice,Parmal,FAQ,2400,2400,2400,25-May-18
65,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,22-May-18
66,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,18-May-18
67,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13-May-18
68,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12-May-18
69,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,11-May-18
70,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06-May-18
71,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,05-May-18
72,Delhi,Najafgarh,Rice,Parmal,FAQ,2400,2400,2400,29-Apr-18
73,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,24-Apr-18
74,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16-Apr-18
75,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Apr-18
76,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,09-Apr-18
77,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-Mar-18
78,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,20-Mar-18
79,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16-Mar-18
80,Delhi,Najafgarh,Rice,Parmal,FAQ,2750,2750,2750,23-Feb-18
81,Delhi,Najafgarh,Rice,Parmal,FAQ,1840,1840,1840,22-Feb-18
82,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19-Feb-18
83,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Feb-18
84,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,11-Feb-18
85,Delhi,Najafgarh,Rice,Parmal,FAQ,1980,1980,1980,28-Jan-18
86,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25-Jan-18
87,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,11-Jan-18
88,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,09-Jan-18
89,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,30-Dec-17
90,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Dec-17
91,Delhi,Najafgarh,Rice,Parmal,FAQ,4000,4000,4000,10-Dec-17
92,Delhi,Najafgarh,Rice,Parmal,FAQ,2250,2250,2250,04-Dec-17
93,Delhi,Najafgarh,Rice,Basumathi,FAQ,4500,4500,4500,04-Dec-17
94,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,28-Nov-17
95,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27-Nov-17
96,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,26-Nov-17
97,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,18-Nov-17
98,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,31-Oct-17
99,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,27-Oct-17
100,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Oct-17
101,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,08-Oct-17
102,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-Sep-17
103,Delhi,Najafgarh,Rice,Parmal,FAQ,1780,1780,1780,25-Sep-17
104,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,19-Sep-17
105,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16-Sep-17
106,Delhi,Najafgarh,Rice,Basumathi,FAQ,2100,2100,2100,12-Sep-17
107,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,27-Aug-17
108,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24-Aug-17
109,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19-Aug-17
110,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,17-Aug-17
111,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12-Aug-17
112,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,10-Aug-17
113,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,10-Aug-17
114,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,27-Jul-17
115,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24-Jul-17
116,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,16-Jul-17
117,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13-Jul-17
118,Delhi,Najafgarh,Rice,Parmal,FAQ,1700,2000,1850,25-Jun-17
119,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Jun-17
120,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,12-Jun-17
121,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,09-Jun-17
122,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-May-17
123,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27-May-17
124,Delhi,Najafgarh,Rice,Parmal,FAQ,2200,2200,2200,23-May-17
125,Delhi,Najafgarh,Rice,Basumathi,FAQ,2200,2200,2200,23-May-17
126,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,21-May-17
127,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2600,2300,15-May-17
128,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28-Apr-17
129,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,22-Apr-17
130,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16-Apr-17
131,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13-Apr-17
132,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26-Mar-17
133,Delhi,Najafgarh,Rice,Parmal,FAQ,3600,3600,3600,25-Mar-17
134,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24-Mar-17
135,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14-Mar-17
136,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,10-Mar-17
137,Delhi,Najafgarh,Rice,Parmal,FAQ,1820,1820,1820,27-Feb-17
138,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,23-Feb-17
139,Delhi,Najafgarh,Rice,Other,FAQ,2800,2800,2800,20-Feb-17
140,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,20-Feb-17
141,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,16-Feb-17
142,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,11-Feb-17
143,Delhi,Najafgarh,Rice,Parmal,FAQ,2500,2500,2500,24-Jan-17
144,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,17-Jan-17
145,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,13-Jan-17
146,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,22-Dec-16
147,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,18-Dec-16
148,Delhi,Najafgarh,Rice,Other,FAQ,1500,1500,1500,03-Dec-16
149,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25-Nov-16
150,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21-Nov-16
151,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,18-Nov-16
152,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Nov-16
153,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28-Oct-16
154,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,27-Oct-16
155,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,22-Oct-16
156,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,21-Oct-16
157,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14-Oct-16
158,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06-Oct-16
159,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-Sep-16
160,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26-Sep-16
161,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19-Sep-16
162,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,16-Sep-16
163,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,15-Sep-16
164,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06-Sep-16
165,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,26-Aug-16
166,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,19-Aug-16
167,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14-Aug-16
168,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,08-Aug-16
169,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,29-Jul-16
170,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,21-Jul-16
171,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Jul-16
172,Delhi,Najafgarh,Rice,Other,FAQ,2100,2100,2100,07-Jul-16
173,Delhi,Najafgarh,Rice,Other,FAQ,1700,1700,1700,24-Jun-16
174,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21-Jun-16
175,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,16-Jun-16
176,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,26-May-16
177,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,23-May-16
178,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,20-May-16
179,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,10-May-16
180,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,24-Apr-16
181,Delhi,Najafgarh,Rice,Other,FAQ,1900,1900,1900,17-Apr-16
182,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,27-Mar-16
183,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,14-Mar-16
184,Delhi,Najafgarh,Rice,Other,FAQ,2200,2200,2200,01-Mar-16
185,Delhi,Najafgarh,Rice,Other,FAQ,1900,1900,1900,27-Feb-16
186,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,16-Feb-16
187,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,15-Feb-16
188,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,13-Feb-16
189,Delhi,Najafgarh,Rice,Other,FAQ,1800,1800,1800,21-Jan-16
190,Delhi,Najafgarh,Rice,Other,FAQ,1900,1900,1900,19-Jan-16
191,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,15-Jan-16
192,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,29-Dec-15
193,Delhi,Najafgarh,Rice,Other,FAQ,1720,1720,1720,28-Dec-15
194,Delhi,Najafgarh,Rice,Other,FAQ,2100,2100,2100,20-Dec-15
195,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,19-Dec-15
196,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,04-Dec-15
197,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,27-Nov-15
198,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,26-Nov-15
199,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,23-Nov-15
200,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,21-Nov-15
201,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,19-Nov-15
202,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,14-Nov-15
203,Delhi,Najafgarh,Rice,Parmal,FAQ,1710,1710,1710,29-Oct-15
204,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,19-Oct-15
205,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,15-Oct-15
206,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,06-Oct-15
207,Delhi,Najafgarh,Rice,Parmal,FAQ,1725,1725,1725,27-Sep-15
208,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,25-Sep-15
209,Delhi,Najafgarh,Rice,Other,FAQ,2000,2000,2000,21-Sep-15
210,Delhi,Najafgarh,Rice,Other,FAQ,1800,1800,1800,19-Sep-15
211,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,28-Aug-15
212,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,27-Aug-15
213,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,22-Aug-15
214,Delhi,Najafgarh,Rice,Other,FAQ,1800,1800,1800,20-Aug-15
215,Delhi,Najafgarh,Rice,Parmal,FAQ,1800,1800,1800,26-Jul-15
216,Delhi,Najafgarh,Rice,Parmal,FAQ,2000,2000,2000,17-Jul-15
217,Delhi,Najafgarh,Rice,Basumathi,FAQ,1800,1800,1800,12-Jul-15
218,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,30-Jun-15
219,Delhi,Najafgarh,Rice,Parmal,FAQ,2100,2100,2100,26-Jun-15
220,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,18-Jun-15
221,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,28-May-15
222,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,23-May-15
223,Delhi,Najafgarh,Rice,Basumathi,FAQ,2000,2000,2000,19-May-15
